peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
402,207.014188106,40.8862392,1472972.47907,4.99416765647,2.0,[M+Cl]-
2,102.054744542,42.4811301,1572636.91804,5.33681093304,10,
152,158.978077149,46.4573724,13416062.4648,9.27538743384,1.0,[M-H]-
4,103.038786833,54.1685058,14416022.2015,2.13076047589,10,
5,104.034115033,48.2387934,5636096.57753,11.2456552415,10,
7,108.900878437,46.4573724,7833470.94156,1.0685608001,10,
8,110.924912607,44.4561252,1148033.8445,4.40466003344,10,
9,111.018697143,78.829902,22043909.5636,1.40353561994,10,
10,111.925731027,44.4561252,123320.592106,14.8899795967,10,
11,112.894896844,46.128495,730163.468533,2.86425893249,10,
12,112.922043384,44.4561252,957174.967245,7.5510887691,10,
13,112.935972516,40.2062508,418077.004773,6.22800905963,1.0,[M-H]-
948,257.066377312,51.3026244,14435490.4503,4.37182217632,1.0,[M-H]-
15,112.984406523,64.72359,49231337.8615,1.6023741446,1.0,[M-H]-
16,114.054879129,56.104509,34549632.2711,2.01616857656,1.0,[M-H]-
17,114.91927392,44.4561252,268981.713218,12.0821666362,10,
18,116.070515079,60.26901,422448871.606,1.12023352631,1.0,[M-H]-
161,160.895975104,165.887385,497927.033792,4.89736727592,1.0,[M-H]-
20,117.018128771,42.031899,1175308.39501,6.00049875261,10,
837,249.091632341,82.807758,28479435.0826,2.13005279237,2.0,[M+Cl]-
23,118.049810292,51.6267798,23141045.2722,10.9760360693,10,
24,118.929737513,47.761002,6340552.98334,5.17148739629,10,
25,118.940791441,38.472489,345711.657301,8.77551472471,10,
26,118.974291346,44.8807245,138394.795861,14.112882876,10,
246,180.065890039,85.925796,3156858842.7,0.90032548446,1.0,[M-H]-
28,120.926700433,47.7744018,2058093.24606,6.77060997964,10,
29,120.953864208,45.437334,746494.316651,7.89085334318,10,
30,122.023560028,80.901138,35031418.1961,1.8960548401,10,
31,122.951029116,45.445125,278316.698339,12.059017775,10,
32,124.940743861,44.3911653,41198.8599339,9.98239745375,10,
33,124.990271131,61.887894,2215839.22402,1.72081954975,10,
34,125.912172068,44.4561252,156323.498076,14.5238885163,10,
200,169.990942806,136.632288,1416877.1088,4.07510706411,1.0,[M-H]-
36,127.000253807,50.1742446,344569879.982,10.3179203531,10,
37,127.909346945,44.7181218,79310.7566964,9.62073092619,10,
39,128.891220116,43.8069972,48225145.2652,8.03384396707,10,
40,128.940706941,40.2062508,236345.346697,2.11799687358,10,
41,128.958573468,49.0615272,17564030.1994,10.6736774281,10,
42,129.003458815,46.4207607,452256.753809,5.56705767059,10,
43,129.892009766,43.8069972,6299022.59605,8.01970241421,10,
44,129.974792995,49.6615818,6520223.87788,2.6180559443,10,
45,130.049884925,71.185848,18486040.1422,1.38047826108,10,
380,203.082168635,316.255914,1357490689.03,12.3946941967,1.0,[M-H]-
47,130.086150571,91.002408,3700154613.58,11.1130969502,1.0,[M-H]-
