peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,104.019397568,112.875015,822800.859738,4.91646470034,10,
2,105.015779313,112.802712,2133101.34557,3.78689162916,10,
41,134.021122433,232.38591,950647.585388,8.2208336503,1.0,[M-H]-
20,123.948043551,223.802118,4045668.00996,13.9147525216,1.0,[M-H]-
5,109.039272669,92.941572,11721018.274,6.17681869494,10,
6,110.023289078,155.990424,1939296.22157,7.71178424516,10,
7,110.956589098,78.556056,2573377.08754,7.51722034435,2.0,[M+Cl]-
8,110.974329753,79.115703,8137576.79212,2.29510879669,10,
9,111.018583247,107.622153,58938355.8396,2.24811463645,10,
445,227.012983196,106.953978,221530.726039,1.51376540056,1.0,[M-H]-
13,112.984064931,69.524691,58244210.9586,4.27893646116,10,
14,112.98413793,554.705187,248967288.217,1.29944165707,10,
397,220.031977804,193.305642,268682.012251,11.440386579,2.0,[M+Cl]-
16,114.978902544,141.844287,81241.416622,5.23620524046,10,
17,118.691734524,317.65968,253918.339981,7.29047238222,10,
18,119.195714428,309.503289,65045.7109518,12.6724840084,10,
19,122.071009761,204.900894,271092.307937,8.97664215685,10,
21,124.989953483,73.268127,1449130.3939,10.7478442704,10,
22,125.03442128,98.131713,3065681.4195,1.37684782916,10,
148,169.990831419,110.133147,6197964.58111,1.99377761011,1.0,[M-H]-
24,126.091177175,88.775685,32664.4589686,14.6147304785,10,
25,126.903586326,69.413988,360185102.93,8.95810648305,10,
26,126.934509544,90.304206,603953.014981,3.634147372,1.0,[M-H]-
29,128.008823665,121.202688,367608.726563,5.10670170616,10,
30,128.931629253,90.377634,416885.497546,10.1036938627,1.0,[M-H]-
31,128.958195186,511.235547,257717657.681,2.4371022137,10,
32,129.054407234,93.670524,47994118.0808,1.15340732924,10,
33,129.065639996,114.955449,807708.70284,3.34021644902,10,
34,129.993184201,413.14773,118630.527749,4.99585199653,10,
36,132.010970356,94.845009,651844.683236,6.78083818452,10,
37,132.994881407,94.30359,2043865.03235,2.49384007761,10,
38,133.010857123,112.859472,570919.632513,0.823760306055,10,
39,133.697324069,467.092443,60197.2899813,12.7008735833,10,
40,133.990491982,88.83246,14433105.5932,7.37903025496,1.0,[M-H]-
42,134.045967806,100.941465,29141157.6023,1.97322122322,10,
43,134.045900284,153.237006,55223855.4468,10.1429401108,10,
789,267.073601178,232.289196,1862247917.84,3.96733702843,1.0,[M-H]-
47,135.049297179,100.991721,1548882.95675,2.4698322512,10,
50,136.876298785,104.612268,2594493.34138,1.87869229216,10,
51,136.990120036,92.405709,1185372.4135,4.08784850348,10,
355,211.099420447,74.204565,16398448.3838,2.49518778651,1.0,[M-H]-
53,137.059446656,74.592588,8782091.64584,6.38446934199,10,
126,165.077130575,247.495947,6237726.86767,3.31467381286,1.0,[M-H]-
55,138.874122181,104.612268,2928887.80845,1.49575323565,10,
56,139.983418353,218.204082,2817990.74077,9.29768877522,10,
176,176.021947408,112.875015,463702.697818,2.62819508281,1.0,[M-H]-
58,140.03404108,155.878098,4147717.14697,7.52077431007,10,
59,140.106827519,129.332442,118068.758801,6.18826370795,10,
60,140.871327879,104.612268,838622.963023,2.49992075196,10,
61,140.967330684,85.543224,77682.5201809,6.88493103351,10,
63,140.992727976,112.688784,2241355.97393,8.00865180531,10,
64,141.979202155,217.788264,202274.876006,10.0252340804,10,
65,142.971754775,225.208056,25743216.9222,2.61074369712,10,
66,142.989844679,112.859472,782843.452543,10.788376117,10,
67,144.96883106,225.380622,8485585.16871,4.25068105529,10,
68,145.052661522,224.217945,73024.1905118,8.76421691577,10,
664,254.061973992,73.435812,1937009.72427,5.50218733233,2.0,[M+Cl]-
70,145.060734352,691.91355,2857800.52978,3.94182534731,10,
71,145.10439512,91.129836,100127.040306,10.4494924555,10,
388,218.103006075,115.643886,69451560.0484,8.87300061206,1.0,[M-H]-
73,146.905183135,104.612268,327296.90715,8.00206346812,10,
74,146.96477077,82.052517,31827929.0209,1.54492770772,10,
117,164.070658311,436.984914,196846803.764,4.84080677941,1.0,[M-H]-
76,147.066574011,551.165412,168777.13146,5.66511986804,10,
77,147.066463801,650.14434,21371062.7977,2.64414209006,10,
78,148.042635325,506.882757,3783308.63561,7.10727158897,10,
263,195.07119094,126.982761,2155661.36472,14.1648236382,1.0,[M-H]-
80,148.061608268,450.879996,1203344.25987,6.0776978623,10,
82,148.9031674,104.612268,339280.22119,4.1375113438,10,
84,148.969020598,81.832764,332763.67891,8.16424073715,10,
85,149.070982319,95.983248,124153.915303,3.48861456443,10,
86,150.025206812,112.859472,515557.39506,7.81213529187,10,
88,151.025037696,178.730169,15756651.9516,12.5162982374,1.0,[M-H]-
89,151.021632554,112.802712,1221377.22345,3.24755201348,10,
90,151.042172625,85.92348,107531.272439,10.158838696,10,
109,162.076169557,580.363821,964988.063764,2.56814129682,2.0,[M-H+HCOOH]-
92,152.081763804,445.137594,245286.460552,7.67574085106,10,
179,176.903933549,104.275716,250176.705222,9.43632310779,1.0,[M+H3CCOOH]-
94,152.938353191,163.189986,61395.1791273,0.6326279697,10,
95,154.097373749,136.47129,155468.858065,14.4488333716,10,
96,154.848145257,104.612268,6420303.62072,3.76096453905,10,
273,196.922593046,803.57775,1059030.74195,11.9131111027,1.0,[M-H]-
98,156.845465233,104.612268,1768636.83354,4.07391216855,1.0,[M-H]-
99,157.035660542,193.186182,10346999.6497,8.22724601211,1.0,[M-H]-
100,157.104716919,88.232151,154959.37836,9.46873477331,10,
101,157.097089665,126.935286,178834.636023,10.0825059488,1.0,[M-H]-
102,158.019598726,130.341006,219602.813867,6.58753766036,10,
103,159.076442674,100.941465,413577.432502,10.3353684221,10,
324,206.085250444,75.897327,175991933.497,3.31381153246,1.0,[M-H]-
105,159.120186516,90.709821,382126.299986,7.45854980908,10,
106,160.03941553,99.641775,9117612.75348,12.3891495122,10,
107,160.961175418,141.991068,164060.014803,7.22849329061,10,
108,161.912518539,82.589322,506487.943176,6.15031641504,10,
111,162.938817603,82.052517,39417438.1634,2.51888221679,1.0,[M-H]-
112,163.039001373,91.770648,5072376.73516,2.13687866923,10,
113,163.050190274,75.955524,2498975.40801,6.1934325652,10,
115,163.895502915,104.612268,308451.33345,6.04676751979,2.0,[M+Cl]-
116,164.056766079,201.819372,532968.738535,8.21961304344,10,
416,223.119491015,511.331772,3177559.55047,12.6792892666,1.0,[M-H]-
119,164.0705197,453.712986,130423667.419,14.8071647509,10,
120,164.8349999,2.74006404,71191785.2955,4.95774624048,10,
121,164.877201958,104.612268,659395.753359,0.35417511991,10,
703,258.869116072,516.451875,262929.051685,3.07657700245,2.0,[M+Cl]-
124,164.983007215,112.238835,1234061.9204,11.0871539381,1.0,[M-H]-
128,165.073830643,453.12075,9511415.33968,7.5889509336,10,
130,166.017015769,107.97273,321054.214198,1.71080486821,10,
1214,312.156809356,94.463298,658466.630382,13.0454937159,1.0,[M-H]-
953,284.223252271,86.5176,227923.499114,9.33209168602,2.0,[M+Cl]-
135,166.875182579,517.858146,121272.53793,4.01732559659,10,
721,260.096341215,85.801575,4299297.30976,1.92353208527,2.0,[M+Cl]-
138,167.070229153,73.343832,6429482.40587,7.68666025863,10,
140,167.987941917,95.106771,2211409.86713,12.7683715247,10,
383,218.025695414,222.8259,95489.1145761,7.84249907445,2.0,[M+Cl]-
142,168.047898749,88.179024,63591.3844863,13.174493039,10,
143,168.058903432,458.422926,239917.186547,13.7317427771,10,
1233,314.179811172,86.39196,7288401.42258,4.65052067331,2.0,[M+Cl]-
145,168.835317948,1606.60596,45993796.082,5.22296099294,10,
146,168.912390578,162.89859,215490.313411,9.43290454033,10,
147,168.998517629,98.300148,233921.043323,8.13491493907,10,
886,278.97679608,95.7723,144638.931516,9.33667417914,2.0,[M+Cl]-
772,265.140719812,86.553834,367960.655937,12.3110554408,1.0,[M-H]-
151,170.891679628,803.57775,9903011.00101,6.99046168146,10,
153,170.995851515,150.907374,1038303.934,8.98824127966,10,
154,171.028932596,85.904397,645234.27489,10.5143274157,10,
449,228.070333334,117.7554,602024.882512,3.68390895242,1.0,[M-H]-
156,171.120297551,89.866338,557203.629094,4.2130872331,10,
157,171.157403613,87.366579,465717.162379,9.46486391821,10,
1587,352.067574253,82.405818,346645.646327,9.14032876238,2.0,[M+Cl]-
160,172.016263656,586.584549,167793.382187,2.94221185654,10,
161,172.024230229,99.641775,659697.299311,14.6805850973,2.0,[M+Cl]-
162,172.097028225,96.514821,10400559.459,4.34825437668,10,
306,202.119240861,506.288919,317082.273957,5.77952705658,1.0,[M-H]-
164,172.829805236,1604.71056,44134513.5881,10.003296061,10,
165,172.870768977,123.878988,22187.3769517,11.0433089836,10,
166,172.990527922,98.638899,90028.6162797,12.6420412782,10,
167,173.001619086,84.608397,152007.124463,9.71737313083,10,
168,173.117244575,74.014266,41563254.65,1.06108715081,2.0,[M+Cl]-
169,174.013190876,586.640322,49402.2190331,13.3662039783,10,
877,278.064740399,471.610371,1956266.45231,5.76107052037,2.0,[M-H+HCOOH]-
171,174.905905168,104.275716,221417.461087,10.5996014394,10,
172,175.019799483,112.700949,138776.052673,14.9804028995,10,
173,175.039114321,86.19285,74747.8533394,8.93140792572,10,
174,175.071537257,115.015836,5007514.22508,0.76494662634,10,
924,281.918566715,104.711748,27947.2872469,13.0598016561,2.0,[M+Cl]-
177,176.041890014,471.439497,3664773.72928,3.68939622291,10,
180,176.904186899,516.997467,1146837.72427,1.36383713429,10,
181,176.918432315,79.164816,31659.1309772,10.4430214663,10,
835,272.991346678,142.263558,248417.646387,4.475160318,1.0,[M-H]-
183,177.028434049,113.284587,121450.43019,12.8681768531,10,
184,177.868702489,104.612268,1319711.92964,1.44523711547,10,
185,178.016845604,94.845009,1755727.73232,6.81114243224,10,
186,178.039205272,471.87648,578535.283971,3.65040369717,10,
1053,296.100138775,139.478862,108909.260602,9.59397176282,1.0,[M-H]-
188,178.843319529,104.608968,241587.531583,5.66653453918,10,
189,178.932388628,141.87624,109715.488539,11.3828803083,1.0,[M-H]-
190,179.006557174,107.452644,345793.363077,0.533068702169,10,
191,179.092918811,261.214098,682491.341699,3.95439435236,10,
192,179.866435762,104.612268,601409.480793,4.4231775212,10,
193,180.06577833,518.026611,27691621.4502,3.2074147798,1.0,[M-H]-
194,180.078227748,90.709821,86401.0334254,13.1111691238,10,
257,194.926782589,803.61222,11777020.1402,6.62798185389,1.0,[M-H]-
196,180.97202235,554.869251,48426418.1872,0.619099774226,1.0,[M-H]-
197,181.049679163,74.639202,15468986.3953,1.75224640881,10,
199,181.867571961,104.612268,290866.018789,1.11424310864,1.0,[M-H]-
200,181.979526816,150.260049,460405.495098,5.34654579848,10,
201,182.042369933,579.016152,35512.3523888,12.6906589441,10,
436,226.053931366,86.229585,160851.746398,7.67012279054,1.0,[M-H]-
203,182.045085574,586.450947,2345349.6524,2.13707212673,1.0,[M-H]-
204,182.824123625,104.612268,5522469.93362,1.40731189382,10,
856,275.055721688,111.305964,242935.631955,13.09190684,2.0,[M+Cl]-
208,184.000304555,93.354708,2131055.02318,2.22360638335,10,
210,184.079427853,86.229585,87625.0205427,5.98951788066,10,
211,184.07373002,471.565161,39673321.8222,2.70046809997,10,
212,184.1698756,86.553834,16272497.7175,6.21601942025,10,
215,185.011805535,97.280775,350369.26357,3.10816252464,10,
216,185.011738242,146.773986,34891.0841149,5.95838420421,10,
