prefix	sample_class	code_field	blank	sample_type	full_path	original_filename	investigation	investigation_id	study	assay	fileid
MSM_Apolar_AMPFrac1_C30LCMS_pos_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMS_pos_inj1.mzML	MSM_Apolar_AMPFrac1_C30LCMS_pos_inj1.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	12
MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2.raw	MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	13
MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2.mzML	MSM_Apolar_AMPFrac1_C30LCMS_pos_inj2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	14
MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3.raw	MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	15
MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3.mzML	MSM_Apolar_AMPFrac1_C30LCMS_pos_inj3.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	16
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1.raw	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	17
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1.mzML	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj1.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	18
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2.raw	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	19
MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2	COMPOUND.D.CULT.D.APOL.D.AMP.1.D.C30.0.D.LCMSMS.POSITIVE	COMPOUND_D-CULT_D-APOL_D-AMP_1_D-C30_0_D-LCMSMS_POSITIVE	no	COMPOUND	data/files/2022_04_25_163220/MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2.mzML	MSM_Apolar_AMPFrac1_C30LCMSMS_COMBO_pos_inj2.mzML	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_MSM_POS	20
A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS	BLANK.D.CULT.D.APOL.D.AMP.1.D.C30.A01.D.DIMS.NEGATIVE	BLANK_D-CULT_D-APOL_D-AMP_1_D-C30_A01_D-DIMS_NEGATIVE	yes	BLANK	data/files/2022_04_25_163220/A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	A01_Apolar_Blank_AMP_1_C30_LCMS_Neg_DIMS.raw	dma_daphnia_magna	1	DMA of D. magna (2022)	APOL_AMP_1_C30_NEG	21
