peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
189,146.044053393,616.61433,1370750502.62,1.54148958231,1.0,[M-H]-
2,103.001835209,92.986554,10716110.754,2.86489483795,1.0,[M-H]-
3,103.038248129,121.968414,22862172.1692,2.7298769197,10,
4,104.03343306,568.572645,131876166.395,2.03022179893,1.0,[M-H]-
5,104.04156739,237.724137,20861512.1394,2.5501538139,10,
6,104.949613306,92.046114,649274.403291,2.87870384303,10,
7,105.017494099,422.764206,13103646.6075,3.48937731453,10,
9,108.010649717,507.621642,3189242.77458,1.38373584695,10,
196,146.865033516,144.192351,129519953.744,4.37335412259,2.0,[2M-H]-
11,108.91801445,152.322372,3682542.11518,4.05203229116,10,
12,110.022861624,105.629943,74233461.8616,2.21972671111,10,
13,110.070550046,761.52726,34994365.4691,4.44325667872,10,
14,110.897238947,144.294918,101348099.617,8.62756937028,2.0,[M+Cl]-
15,110.956112373,49.6525749,736536.834843,5.93830320384,10,
16,110.97386598,49.2016128,40158497.4085,2.85184578318,1.0,[M-H]-
1085,243.060841492,105.629943,2957222296.85,2.2325461133,1.0,[M-H]-
18,111.018140521,64.849983,110617828.9,3.8559814651,10,
499,187.107066212,390.786012,402316970.759,1.53051283169,1.0,[M-H]-
21,113.020178737,91.720059,5421061.31063,3.91605217473,10,
104,131.044364984,575.674686,179234959.072,1.16499013011,1.0,[M-H]-
23,113.070250685,450.230241,66149.893688,11.6890113071,10,
409,175.070699968,592.127916,111614292.518,1.86844335745,1.0,[M-H]-
25,114.029061371,133.54626,2419815.19998,5.24982032979,1.0,[M-H]-
26,114.054217788,452.846817,265021369.072,2.80671920061,1.0,[M-H]-
27,115.013095957,68.32011,750511.5835,9.93766001974,10,
28,115.038210364,61.738899,39647218.1561,1.82077278914,10,
29,115.074589762,56.4008349,25974138.9703,10.8582649852,10,
283,159.075779855,547.39326,264224312.183,3.8755006423,1.0,[M-H]-
640,203.080912321,282.58083,891920414.721,1.44282267492,1.0,[M-H]-
32,116.060861101,452.753592,307271.057861,7.32441766456,10,
705,212.058160504,403.771308,10519237.7858,8.41840772482,2.0,[M+Cl]-
34,116.089241461,547.504356,326788.259573,8.91460097602,10,
183,145.059996308,561.231567,2000014819.67,2.54986127546,1.0,[M-H]-
2125,310.114631768,122.764653,2431497.00374,3.39245159148,2.0,[M+Cl]-
37,117.053858734,101.404986,20668419.6124,4.25995551891,10,
40,118.04916182,620.67462,21917167.6387,1.75133593707,2.0,[M+Cl]-
41,118.049125233,544.675065,78830919.4097,1.76743960412,10,
42,118.049128791,520.338111,291638908.362,2.62732273899,1.0,[M-H]-
44,119.034681593,120.837426,4185783.56328,1.36394414801,10,
448,180.064836694,396.168975,2101014837.88,1.67054617062,1.0,[M-H]-
47,119.945179217,462.310632,761378.707082,4.28939963608,10,
49,122.022904019,179.861451,130336677.626,2.2916057263,10,
1122,245.064945451,105.601221,34040715.6833,1.50193999091,1.0,[M-H]-
51,122.070543513,390.77112,603791.314137,2.14608650318,10,
52,122.89228344,48.1071096,6313752.89595,13.5679026014,1.0,[M-H]-
54,123.900270136,142.44966,24882592.2399,5.67168004886,2.0,[M+Cl]-
55,123.900256686,419.511042,47096912.3355,5.36067603087,10,
56,123.900281803,117.258441,19228401.3858,14.1502622029,10,
57,123.900182319,280.936086,66796807.9399,7.43974646204,10,
58,123.900238415,338.569803,51967657.3885,11.8969011789,10,
59,123.900246498,309.921777,83014002.7342,7.43820620767,10,
60,123.96912329,62.986662,432293.506529,10.0634046683,10,
61,124.005533075,408.702876,107914005.027,9.24108717316,1.0,[M-H]-
62,124.989543698,163.483905,14630246.0861,3.45708985513,10,
63,124.98949647,45.1308768,43786813.8283,2.07326930933,10,
65,125.041371967,504.077604,14444765.7859,1.33019355441,10,
962,234.075378651,166.696578,6524357.5726,4.1281598089,2.0,[M+Cl]-
164,140.974147723,151.651317,41251579.7146,1.98293469795,1.0,[M-H]-
68,125.992844297,45.2880003,685318.943276,10.7688646697,10,
847,224.048607598,142.401684,3841297.67165,5.29934929557,2.0,[M-H+HCOONa]-
70,126.934084793,54.5249151,1222261.43273,3.13184998904,10,
1157,247.009962609,44.8173168,3039861.13124,4.52148405151,2.0,[M+Cl]-
72,127.038257461,70.54935,23508523.8647,3.11031369134,10,
515,189.086385167,543.399387,135281618.959,4.08193975349,1.0,[M-H]-
75,128.008333328,109.540797,4009619.48577,1.928160234,10,
77,128.033473879,419.511042,162156000.06,2.19784834403,10,
378,172.096232662,125.895948,124594727.014,1.23695909382,1.0,[M-H]-
1382,260.916915035,145.846707,2316346.78886,4.55852192368,2.0,[M+Cl]-
83,128.890347711,161.262795,27845390.9682,8.9058284887,10,
1176,248.022216,54.5451399,3106388.9725,2.83668061571,1.0,[M-H]-
85,128.994164833,91.351092,2666232.20301,2.91869140749,10,
86,129.010897638,167.496909,1275632.7734,7.88121080962,10,
855,225.042159708,57.0257034,36177002.7629,2.87835231976,2.0,[M+Cl]-
388,173.091374924,387.290343,131512691.893,2.09692021975,1.0,[M-H]-
389,173.091378588,488.087061,32775338.2278,1.39210457505,1.0,[M-H]-
854,225.018152885,297.428991,1210645.56729,3.21922919359,2.0,[M+Cl]-
94,130.037552755,419.813724,314618.651301,10.6510618152,10,
95,130.049157317,504.539703,45109428.3533,2.37849479582,10,
1710,283.076926737,280.622712,131589389.675,4.35199794714,2.0,[M+Cl]-
98,130.085482015,310.190724,3765592513.48,4.80366019914,10,
893,228.062907027,338.569803,15952158.4225,3.93189019406,1.0,[M-H]-
102,130.887456368,161.423286,32584203.2323,14.6139242759,10,
103,131.044382673,648.1506,26214896.2985,6.04218233846,10,
105,131.044376258,593.864946,83547167.2529,3.02455035809,10,
107,131.069540981,76.654326,75305807.2619,1.49732205855,10,
392,173.102634995,896.66598,3075664037.32,4.81866752894,1.0,[M-H]-
110,131.080753893,944.94894,74712118.6651,3.28556879374,10,
112,131.888189262,163.035798,3265990.06627,10.6729871417,10,
115,132.02834169,648.10815,77665749.2252,3.93095111976,10,
116,132.028429855,681.22374,17069742.0808,6.42729391364,10,
117,132.028461446,457.366683,1606773.87431,2.85885853789,10,
118,132.028405716,631.71078,67873606.5103,5.34902259411,10,
119,132.039772438,535.881276,421010.745339,4.97922616273,10,
120,132.047479462,488.437158,196585.454744,13.4139436181,10,
121,132.064835464,534.746967,4503836.81994,1.75224840178,10,
122,132.064868024,640.35636,3183652.09503,5.71976273777,10,
124,132.866025546,378.35565,35811510.6228,7.96548331897,10,
125,132.866067321,141.194373,71280447.7174,9.96314940049,1.0,[M-H]-
126,132.866013234,360.166851,37959001.3629,5.35966756519,10,
127,132.865971297,280.936086,87936630.0605,14.5393495767,10,
128,132.866099302,460.571433,7665908.21901,6.07892368469,10,
129,132.866025063,60.168096,45579938.7728,6.70903211797,10,
130,132.86590516,309.40554,80053483.3387,10.7964878844,10,
131,132.866042132,419.492892,15359707.0145,3.27818073738,10,
133,133.04880335,100.776618,39511416.5754,6.22116054076,10,
134,133.068203326,640.47054,113191.906264,1.42787141994,10,
135,133.989854031,56.7334272,171206421.819,1.95883665915,10,
136,134.005145177,54.1958718,445080.923458,7.31750699665,10,
2180,314.090330561,399.787428,6390590.67146,1.12212148085,2.0,[M+Cl]-
839,223.11846905,169.318854,26278534.5446,4.8625108477,1.0,[M-H]-
2364,326.109220231,99.653757,44831828.2453,3.03635377459,1.0,[M+H3CCOOH]-
140,134.045422438,85.389321,74821256.7506,1.86315796091,1.0,[M-H]-
141,134.045340545,57.3579279,44651098.6495,4.76091626674,10,
142,134.881793968,160.740444,2196116.16828,9.10381035392,10,
143,135.029371664,107.816124,30550998.924,1.57653661746,10,
1468,267.072190975,169.408869,9309160274.23,2.84958938074,1.0,[M-H]-
146,135.064488177,98.734929,3761999.93718,2.57734103587,1.0,[M-H]-
147,135.919175841,460.845213,178407.016712,10.3495972884,10,
150,135.994115562,56.7382896,662630.577143,3.60747914662,10,
151,136.031498811,456.321648,580735.200778,4.96323525309,10,
152,136.075030974,124.058502,2168711.10163,1.52378359478,10,
1489,268.924391263,70.995531,348436.564758,14.378971369,1.0,[M-H]-
154,137.08151241,73.68183,5476143.59796,2.37357123959,10,
155,137.994518424,91.720059,2432247.64324,4.96665734173,10,
156,138.037215183,99.03243,540919.718001,8.21472743584,10,
157,138.873641472,71.131554,4514109.62069,2.35776909478,10,
158,139.982670873,167.53926,18084601.1377,4.2872491312,10,
159,140.010031919,614.09292,5079786.12669,0.699594170121,10,
160,140.033457485,105.601221,28609847.1925,1.74862721963,10,
626,202.081753297,645.23796,67011579.5503,3.25374291605,1.0,[M-H]-
162,140.106277396,383.012643,196083.101235,8.34966953242,10,
163,140.870764369,70.837599,1324618.10787,5.33998215794,10,
165,140.966762097,55.5280728,425246.550306,9.16645834667,10,
1803,290.061910949,73.050645,3164944.94668,3.59171044964,1.0,[M-H]-
167,141.01500634,475.845114,14101900608.3,2.73564182321,1.0,[M-H]-
169,141.065115276,391.104762,6669272.84553,2.81008123708,10,
641,203.10212011,445.934067,88219508.0235,2.18422624808,1.0,[M-H]-
173,142.105021049,446.387367,197917.171972,14.5478253255,10,
175,143.117169154,324.495624,6152120.603,12.5462933592,10,
1804,290.117192342,350.499411,862223.492593,6.86436679501,2.0,[M+Cl]-
2414,329.921346515,145.301904,3851897.8877,7.02302023153,2.0,[M+Cl]-
178,145.012929169,559.96428,11263898.4751,3.93693953079,10,
526,191.065679276,571.971168,104537989.154,3.87119779495,1.0,[M-H]-
180,145.060064244,585.271587,131573381.906,3.07249848717,10,
408,175.070687436,527.416737,74334484.8137,3.88185604361,1.0,[M-H]-
1448,265.11174795,65.339511,5462709.09296,5.70148763932,2.0,[M+Cl]-
1049,241.084842528,947.56662,15517313.1042,4.80890718968,2.0,[M+Cl]-
186,145.990027179,188.154042,1078096.62992,3.81550092035,10,
2899,365.14518308,416.6178,5000920.44156,1.91161314346,2.0,[2M-H]-
188,146.044089253,648.10815,64177708.3104,3.5356999276,10,
190,146.044191855,681.624,10212641.4245,2.30145874511,10,
191,146.057214613,561.231567,13908989.4941,2.02480970171,10,
2038,304.074685324,488.685456,1267439.37733,3.27575047758,2.0,[M+Cl+HCOOH]-
788,218.101838946,331.609464,1414273543.53,1.03673995806,1.0,[M-H]-
810,220.117670351,595.234596,32771828.8376,4.04678517212,1.0,[M+H3CCOOH]-
2368,326.144312564,400.581858,3274795.43333,4.69112015481,2.0,[M+Cl]-
197,146.964274042,462.438576,1729707.22518,6.3608879031,10,
198,146.96413361,51.2425941,147345363.151,3.09126329808,1.0,[M-H]-
199,146.995844773,91.827153,758767.147315,12.8277042397,10,
201,147.043340559,280.936086,110734090.874,3.51601695264,10,
202,147.065878327,515.605212,59922117.2798,3.84911961743,10,
206,147.083862119,513.007128,76667.9007289,9.21062973074,10,
207,148.041981357,360.166851,190796671.702,2.6090130396,1.0,[M-H]-
889,228.04756335,616.71444,6103137.27609,4.41104087983,2.0,[M+Cl]-
210,148.86208366,163.933188,11224698.1171,10.5045176913,10,
211,148.968406261,51.0837246,1523425.83592,5.73322933203,10,
212,149.043790927,337.622991,3207866.39224,11.7447113255,10,
213,149.043717187,353.426874,2149073.35684,6.15928688206,10,
214,149.91126239,50.9282208,649176.741573,13.913578276,10,
840,223.118517169,42.0060306,272733610.697,1.95831607422,2.0,[M-H+NH3]-
216,150.858842764,163.620318,1080750.0484,14.1740976548,10,
217,151.024429799,144.984033,165399392.794,3.01006693679,10,
1708,283.067069148,431.510823,144054540.307,2.35406871479,2.0,[M+Cl]-
219,151.059490811,233.643291,28940471.9812,6.68377929169,10,
220,151.059514573,257.684622,19260028.5229,1.22212047771,10,
221,152.00046256,58.610034,732379.94052,11.3281906885,10,
223,152.081217167,94.895838,2270799.76387,1.22866291955,10,
224,152.849724171,70.978239,2014529.83087,4.58793456949,10,
225,152.881940726,142.091706,3411729.37608,4.81387267948,10,
226,152.937767336,112.856754,743348.695958,2.40726280201,10,
227,152.99408309,358.245495,10745996.7392,3.05440571362,10,
228,152.99411957,648.26694,2607293.57081,1.64171916884,10,
1124,245.041899714,508.775793,461359730.448,2.56591663561,1.0,[M-H]-
1120,245.042066547,237.015606,24824245.3825,8.94796960315,1.0,[M-H]-
232,154.01622597,414.687882,3945475.01068,4.26416441574,10,
233,154.060450396,947.11524,106465841.339,4.44559270482,10,
234,154.060408042,761.52714,188528423.77,1.73561058604,10,
235,154.060483851,695.79252,1421875924.08,8.20158759189,10,
236,154.060454269,895.533,586238571.69,5.73980915835,1.0,[M-H]-
237,154.06801159,506.340213,2535248.2699,1.54267706069,10,
752,216.097513744,608.62767,60575767.4046,2.30045944422,1.0,[M-H]-
239,154.847615791,70.996029,2489411.36374,2.6737337696,10,
240,154.932142934,2071.99044,4470538.41156,14.9590616741,10,
241,154.988804674,56.7285648,676290.697759,2.19766019855,10,
246,155.117201134,385.866789,17112407.8296,1.01769728854,10,
248,155.945342184,461.056824,1326595.5087,11.9371151045,10,
249,156.010680563,165.889386,1002085.39847,9.6765630013,10,
923,230.11327345,544.675065,38188389.9639,3.24995667974,1.0,[M-H]-
2212,316.083149822,617.15511,2142502.87358,4.40221525182,2.0,[M+Cl]-
253,156.120528518,385.910928,1210094.04191,13.117267263,10,
254,156.844825559,70.837599,630309.857204,2.68951088411,10,
404,174.935669212,676.68888,609722318.06,1.65365588258,1.0,[M-H]-
256,156.961715445,52.033083,1320005.15014,4.9182983295,10,
1273,254.966414308,437.048979,539555346.901,4.10293706637,1.0,[M-H]-
258,157.010105192,91.118289,3267349.09786,4.070393584,10,
512,189.044283372,272.017695,17594529.7174,14.0625200199,1.0,[M-H]-
260,157.015646172,498.968262,1655546.43223,5.01701480349,10,
261,157.023708151,395.222823,8562997.81436,4.13230367722,10,
262,157.034960846,133.543365,50350607.4726,1.38590903831,10,
263,157.042555914,506.441976,271738.990459,11.7343830925,10,
264,157.096458688,61.103292,1005469.08491,3.08340200389,10,
618,201.122848518,383.163312,261570955.931,0.30316151457,1.0,[M-H]-
619,201.12283617,320.392965,407834754.588,1.74888809951,1.0,[M-H]-
267,157.906546477,142.57785,8576620.90189,6.45206683849,10,
270,158.027143936,394.93062,261210.088364,8.70398387147,10,
273,158.11693296,499.971489,1456084.18038,2.28340189718,10,
276,158.929301229,676.87371,357610.014023,12.0107571964,10,
1115,245.004767235,69.095424,7349624.62569,3.71680126184,1.0,[M-H]-
279,158.992903564,437.269107,47866101.8813,3.09367755663,10,
280,159.026084552,290.128437,4791202.36756,9.65056244304,10,
1276,255.037494527,65.807946,1320180.12032,3.65365607161,2.0,[M+Cl]-
1048,241.081536982,63.464079,49620698.4581,2.82595163229,1.0,[M-H]-
1716,283.190197124,55.477578,8031053.51204,3.71953460091,1.0,[M-H]-
285,159.100871314,58.8961983,13574240.5277,4.43835585883,10,
287,160.023434326,616.87233,12219618.3337,5.21151567924,10,
288,160.059850707,639.75813,17154469.4766,3.9108359833,1.0,[M-H]-
289,160.920264434,71.470095,1552629.87362,1.05875302441,1.0,[M-H]-
291,160.996963304,236.133708,27923443.7841,2.19170937384,10,
292,161.055105242,632.54349,22356805.9143,1.81648245511,1.0,[M-H]-
293,161.054979154,562.199028,37158592.3623,3.98375916515,2.0,[M+Cl]-
653,205.063729207,450.259212,26992692.2527,0.852225560159,1.0,[M-H]-
295,162.00588014,142.139679,240577.120584,9.63341852801,10,
296,162.010011334,460.109466,335595.145164,4.3486222619,10,
297,162.040470721,120.855981,61111975.8531,0.793915333683,10,
298,162.052085085,632.82264,66457.4956698,13.4253664574,10,
299,162.058389673,529.818363,891369.043801,1.91192647674,10,
300,162.0655101,453.105006,976399.842146,3.31097819712,10,
302,162.938249097,461.115645,595222.859462,6.42137433333,10,
303,162.938100975,51.4000371,59457053.138,1.93788662624,1.0,[M-H]-
304,162.976294744,422.272017,189899.837022,6.01580954755,10,
305,162.994041396,236.292891,10522767.79,13.5790649867,10,
308,163.059464508,62.986662,254760.072943,8.79519808957,10,
859,225.097796619,761.3697,4513432507.02,2.97998381971,1.0,[M-H]-
310,163.83774094,43.5672786,1292825.24945,3.92774480152,10,
311,163.894798776,70.837599,2373295.47107,3.39125719692,10,
312,164.000614917,79.222914,12075884.0501,1.02779272159,10,
314,164.056146273,114.160458,2339224.72319,3.60172048342,10,
315,164.069901741,280.858833,2135367112.18,1.76838805745,10,
316,164.069971302,307.781034,373177436.773,8.5873107524,10,
1299,256.092750886,110.646417,8919728.33386,2.71182511029,1.0,[M-H]-
320,164.942243721,51.402213,535182.899591,7.16485457319,10,
1008,238.029740748,544.970646,919668.761996,4.48264650911,1.0,[M-H]-
2147,311.139037637,73.996827,6217391.96647,3.17341837036,1.0,[M+H3CCOOH]-
1099,244.038567359,142.051983,16523876.7239,1.61346405426,2.0,[M+Cl]-
326,166.016328415,71.153961,2725029.43512,2.65573267965,10,
327,166.020956402,618.94029,59307485.6763,13.4099782072,10,
1992,302.095650061,384.70959,3147100.26839,1.90151608169,1.0,[M-H]-
329,166.020981461,2052.73833,153226631.119,14.4633490627,10,
330,166.025956512,504.729225,51993.3816467,8.80254791673,10,
331,166.994394747,557.690265,97902.7994746,9.33910361805,10,
2209,316.077230141,498.877998,32717922.3552,2.98524413938,1.0,[M-H]-
813,221.003120588,68.298759,989709.529189,3.77353874422,2.0,[M+Cl]-
334,167.03084127,85.381902,317767.080029,10.9365082422,10,
335,167.849854542,71.131554,4765336.95375,4.8529007948,10,
336,167.977877598,83.762436,156995.635134,4.50363202095,10,
338,168.039815378,158.708865,4858335.49595,1.97510324713,10,
339,168.031962739,138.299022,2262964.92368,2.44504991629,10,
2213,316.115235074,648.26694,583453655.863,6.21464518611,1.0,[M+H3CCOOH]-
1106,244.074896876,369.594234,7481001.6094,1.92758810627,1.0,[M-H]-
345,168.97685166,64.389534,591259.64049,10.6163492232,10,
346,169.00550651,144.934056,1298638.23916,11.5977179394,10,
347,169.007044981,498.968262,1207077.9836,2.3072797141,10,
348,169.022571144,68.948478,1469158.86923,3.84356795412,10,
837,223.084322101,81.069801,1716092.32983,3.37095814339,1.0,[M-H]-
350,169.10456462,55.4860596,228629.885898,4.18946023232,10,
352,169.972266796,69.095424,856863.625939,6.29946834746,10,
353,169.990022742,91.434471,3647704.38204,1.22268964592,10,
355,170.041777969,506.795004,69479508.1071,2.18386891754,10,
356,170.037704464,96.530934,3655371.56334,3.4882706739,10,
357,170.055357039,330.214128,689888.718823,4.99621588048,10,
729,214.064102288,393.021933,19200894.5593,1.95976617071,1.0,[M-H]-
359,170.091842526,619.15722,3117738.40026,6.78929269661,10,
360,170.153273608,66.120195,5101094.49397,3.18777244791,10,
361,171.002526625,158.79156,898266.668124,6.68172891002,10,
362,171.002534746,145.772703,1235658.5638,10.1458704085,10,
363,171.013379091,251.931654,12425645.5477,4.01352397653,10,
364,171.021730538,73.68183,910093.328143,5.43646971264,10,
554,195.085887861,97.467,6444611.51342,0.468318551531,1.0,[M+H3CCOOH]-
367,171.075849834,452.656644,7564457.70519,6.67884282376,10,
368,171.100902717,59.5416024,45306465.1538,1.65454390943,10,
3122,383.13677147,57.2019288,2708514.36171,1.09885101309,2.0,[M+Cl]-
370,171.148605098,297.85617,3049615.53599,4.65600049294,10,
742,215.138694229,242.431641,186489365.569,11.9738549604,1.0,[M-H]-
372,171.148609669,281.874984,3402277.57978,7.7182930102,10,
1008,238.029740748,544.970646,919668.761996,4.48264650911,2.0,[M+Cl]-
559,196.059965665,415.959072,25624795.6339,12.7317047815,1.0,[M+H3CCOOH]-
377,172.019338551,85.87488,779333.397507,4.92005500409,10,
379,172.107480871,112.561113,6710134.70342,1.34802720198,10,
755,216.133902354,902.23152,54688866.9747,5.42019830133,1.0,[M-H]-
382,172.984121191,272.816688,12029962.7984,3.51630522804,10,
383,172.989752709,71.769111,796092.438419,4.72407394301,10,
2374,327.027621727,168.474066,35407084.9331,3.84002949741,2.0,[M+Cl]-
2395,328.105104996,506.89542,371783.6668,4.8454504463,1.0,[M+H3CCOOH]-
386,173.028970011,91.351092,1653154.05714,6.2957402068,10,
390,173.080204469,98.072334,81397113.7015,3.5927652918,10,
393,173.10261848,945.79482,124474636.636,6.53306906527,10,
395,173.116594402,70.197855,110077545.64,2.4123877878,10,
396,174.004226069,167.631768,1048870.3245,2.46646958073,10,
397,174.021388429,124.377642,4037147.54075,2.30552324482,10,
398,174.086762252,593.207679,5556344.62745,1.62654939494,10,
403,174.105855701,896.50752,195203943.67,2.72423295922,10,
761,217.001575611,1516.65741,6184164697.66,11.8754409626,1.0,[M-H]-
406,174.99661103,167.448996,748689.836755,12.4740690232,10,
2071,306.129469624,535.732644,10121476.6777,5.05120104159,1.0,[M-H]-
410,175.089295642,401.560578,671165.354116,4.94919275734,10,
1368,260.04424561,459.337674,705383.155529,14.747468971,1.0,[M-H]-
414,176.007938097,552.477156,4575726.09923,8.92983087967,10,
417,176.091160882,400.422924,13087132.6263,5.47820370648,10,
418,176.815676864,72.717603,9414478.1179,8.36992061618,10,
419,176.894231921,71.294856,641606.180919,4.81137666398,10,
547,194.925802348,676.72191,332178623.209,4.76241069561,1.0,[M-H]-
423,176.971402501,506.66046,587193.615857,8.82572201324,10,
