peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.435223265,105.886908,584524.299894,11.7147891322,10,
2,103.001838401,188.504169,25411761.6426,4.75663209756,10,
3,103.038199331,470.626545,58013269.8385,11.4366863723,10,
4,103.038224003,252.031875,38923423.4239,4.57272496892,10,
228,190.052710028,294.448818,77756169.3405,3.85696066893,1.0,[M-H]-
6,110.022845784,212.595228,146387672.545,3.95851988061,10,
7,110.956180886,98.193345,1447353.16904,2.01587026455,2.0,[M+Cl]-
172,172.023416812,126.554847,52906023.0218,4.27497488443,1.0,[M-H]-
439,243.060793962,212.428635,5892137481.76,2.02042444029,1.0,[M-H]-
11,111.973279431,98.219478,273723.926,6.83018280601,10,
13,114.029053726,269.5911,6760476.57463,2.35717661263,10,
14,114.054203541,692.86713,82104652.4947,9.32020873915,10,
15,115.038234661,122.954922,103930997.328,3.4376650289,10,
46,129.053892881,110.425575,54114153.593,3.90922691142,2.0,[M+Cl]-
262,203.080973334,492.467625,1657967189.76,2.98482392705,1.0,[M-H]-
20,119.015151991,731.94342,12117231.2135,9.10193187894,10,
21,119.015190491,694.48308,8824483.32541,5.27038549102,10,
22,119.015184862,672.72711,14111664.7245,6.8318987966,10,
23,119.03461869,242.066493,14648513.6321,2.08900639628,10,
194,180.064843413,615.98268,1451021839.63,10.2263281083,1.0,[M-H]-
25,119.945167369,726.66066,933942.894178,2.81320197348,10,
27,122.030980511,135.614664,113409693.281,2.4603913855,10,
28,122.022919376,374.136021,181972632.108,4.85089248905,1.0,[M-H]-
29,122.022824581,212.285526,32431386.7296,1.39849818568,10,
30,122.892340533,107.296998,2188329.84467,6.14736604467,10,
32,124.989490072,90.874569,639036717.678,5.31178612869,10,
33,126.001336104,641.3394,2997526.21498,9.95228094943,10,
34,126.000119552,182.928786,7838789.07527,3.48759577812,10,
35,126.029100422,286.515246,6283661.48671,1.47765553254,10,
36,126.90307979,79.875063,28923055.4273,2.23377406979,10,
403,237.021238894,99.473472,716942.216062,14.1975061143,1.0,[M-H]-
38,127.013023678,94.145706,1547619.83133,14.9377910944,10,
39,128.00832778,221.46375,7536268.46795,1.7137293126,10,
40,128.015755061,177.091893,24447073.9163,3.71069906019,10,
41,128.033459669,650.9268,104700049.688,14.4761163074,10,
42,128.890315608,298.712289,121123116.982,14.8182851738,10,
43,128.931121329,99.604395,412504.211433,9.32795064675,10,
45,129.036863878,650.9268,5193104.75127,13.2459991692,1.0,[M-H]-
47,129.090251643,96.960096,73534579.5051,5.97992901582,10,
48,129.891167487,299.347536,16005305.1326,12.0715297764,10,
50,130.085470157,560.098209,1018223452.34,7.39235522764,1.0,[M-H]-
361,228.06288057,531.517038,9549859.36607,9.65506542118,2.0,[M+Cl]-
52,130.093653117,96.950328,5108667.30655,7.55622756948,10,
53,130.887425048,299.204919,142136192.62,13.5019369523,10,
54,131.069561914,155.237406,160574209.808,11.4547803865,10,
58,132.089636546,530.560578,9161782.10738,10.3941079877,10,
59,133.885251611,299.517984,4589702.85047,8.10238524993,10,
60,133.989890864,113.086248,324323025.533,3.14283845632,2.0,[M+Cl]-
61,134.005165376,97.100034,2612298.58141,6.74191157184,10,
982,326.109144948,199.861068,127709304.545,1.59634183141,1.0,[M+H3CCOOH]-
63,134.045372239,171.274509,172465711.573,2.85458499949,10,
65,135.029329417,213.989061,95232171.7498,1.90801685096,10,
66,135.02931318,346.901184,307736090.871,7.05126790431,10,
69,135.064440861,199.103334,4640116.22259,6.3302328505,1.0,[M-H]-
309,216.032203443,247.44498,417866349.505,2.66133400571,2.0,[M+Cl]-
72,136.875757766,145.139802,1212200.2063,12.7071916481,10,
234,193.052333726,87.603135,166880739.345,5.50098996417,1.0,[M-H]-
74,137.022548488,204.735165,73224059.6014,3.95847364642,10,
1277,395.10337518,100.09095,544567.452206,10.5082710036,1.0,[M-H]-
925,311.139118991,150.201432,17615490.629,8.17479936856,2.0,[M+Cl]-
389,234.097047034,278.919294,34764189.1992,5.27501419585,1.0,[M-H]-
78,140.033432051,212.428755,54509468.1659,2.53658639796,10,
79,140.984593415,147.201522,24882558.3876,5.89563988902,10,
80,141.015023529,747.40077,12456015338.9,8.46048039126,1.0,[M-H]-
83,142.955712785,97.723902,845381.001572,10.4828653493,10,
84,142.980417312,147.352284,819571.066607,10.8481905751,10,
87,143.105918103,91.952163,283659572.457,6.65111733622,10,
89,145.085261051,128.273328,76006204.5175,4.27921880194,10,
90,146.964283189,726.63114,2061209.12032,9.53276585794,10,
1144,359.045932445,96.476409,1578630.70896,6.87300798107,1.0,[M-H]-
138,164.069954257,494.345304,2698358573.94,2.19220099578,1.0,[M-H]-
93,148.041987226,581.25339,149777604.347,9.93240313783,1.0,[M-H]-
95,148.978343786,727.12488,50074.9953656,10.0478044919,10,
752,284.087621541,193.568616,15034334.1452,2.35407810996,2.0,[M+Cl]-
235,194.084194256,90.086931,15431314.6167,12.1580256389,1.0,[M-H]-
143,165.017597671,294.924078,331210867.306,7.09163605275,2.0,[M+Cl]-
745,283.067132586,660.86142,590833506.98,7.15705374956,2.0,[M+Cl]-
106,152.027745023,294.751683,24389918.3108,4.45913510757,10,
107,153.979791762,95.376207,7524420.61746,3.7774857156,10,
108,154.016195678,648.30162,2557905.47303,12.7361342167,10,
109,155.069512966,89.010333,83926845.9837,14.9243236936,10,
110,155.08080785,614.9916,3188672.23313,5.01300417847,10,
248,200.000611597,337.664751,1780918.95506,7.59559949171,1.0,[M-H]-
525,254.966437516,685.6074,411030844.063,7.79249362126,1.0,[M-H]-
364,228.995434691,186.425157,6861569.49844,9.01298401279,2.0,[M+Cl]-
114,157.03496652,269.433294,127897913.931,0.777964961941,1.0,[M-H]-
1364,415.192316312,88.389456,39389234.1587,3.75455928759,1.0,[M-H]-
118,158.929344995,892.5738,529639.205236,3.7773221706,10,
725,281.021012453,135.448794,10162602.7825,14.3132173059,2.0,[M+Cl]-
120,159.064587932,94.918734,16309724.0436,4.43651529981,10,
121,159.064567776,124.80885,58915330.4306,2.17755539688,10,
688,277.154819471,178.054716,1309966186.31,6.87661991942,1.0,[M-H]-
124,159.119512938,100.719753,296897.473354,13.6872540162,10,
125,159.984549789,727.64592,77070.8532874,6.19219608232,10,
126,159.99048964,685.6074,16481796.3506,5.48421327073,10,
890,306.992356554,145.486971,97673929.6069,5.68259972359,2.0,[M+Cl]-
128,162.040406579,241.734639,179561966.362,1.30319032891,10,
129,162.840693523,298.076919,44747395.394,7.89892345118,10,
890,306.992356554,145.486971,97673929.6069,5.68259972359,1.0,[M-H]-
132,163.043789112,241.085511,10611822.3603,3.19469370068,10,
133,163.038371837,96.346488,9830247.34724,3.61964964667,10,
134,164.000576513,163.236672,23130671.9745,7.76427459492,10,
136,164.04160145,96.658104,593451.198959,5.73301757135,10,
137,164.056113414,228.598374,7381820.87079,2.30098895924,10,
379,232.027161488,223.56945,20467524.2583,3.94170822975,2.0,[M+Cl]-
558,259.095497568,337.531602,70908041.2983,5.64547388374,1.0,[M-H]-
141,164.83781684,298.213338,40970479.0171,8.98190541733,10,
144,165.01756702,661.00809,700258838.83,6.68544996999,10,
145,165.017499743,345.183939,833033254.471,12.1813070619,10,
146,165.017605979,119.214462,459958673.413,10.2901649127,10,
147,165.017470084,211.662396,622800255.013,9.46075224675,10,
148,165.076516712,151.312986,32192247.6073,2.21094460075,10,
150,166.01631411,144.540039,5211538.18639,8.81314654204,10,
151,166.021011937,833.59758,19027280.263,9.17466662657,10,
152,166.027343554,615.66849,8953528.25385,8.32043071565,10,
354,227.065995236,144.896643,150878918.411,5.14562667863,1.0,[M-H]-
155,167.026712133,134.833785,154055294.573,2.34815311493,10,
156,167.849862602,144.210648,3983760.84771,10.5367821282,10,
157,168.039809573,320.355951,8924304.79889,5.56122355405,10,
332,221.091708147,585.525474,36763390.2183,10.8528248324,1.0,[M-H]-
159,169.132885357,538.280238,426539.157216,5.73546432074,10,
160,169.847911416,143.730102,5729306.79126,10.7491782167,10,
161,169.990042327,182.641887,10108089.8325,4.92931708879,10,
162,170.022253304,171.909186,3063191.1465,6.64374209008,10,
352,226.047409998,190.5783,153189606.228,2.59469498159,1.0,[M-H]-
164,170.055467538,553.407513,620321.624509,14.7163450286,10,
165,170.153316927,131.101779,11650756.8092,7.00853907801,10,
456,245.076611028,237.158004,110837967.647,1.16730030986,1.0,[M-H]-
167,170.99520563,192.742854,9460923.74805,2.68982550513,10,
168,171.010443509,89.480124,23796516.7294,3.21093617931,10,
169,171.119561197,100.07868,1249617.5185,6.11590133306,10,
171,172.005682547,97.896453,4282435.43329,7.16974514312,10,
173,172.05179811,324.129378,1311387.91007,4.23374188534,10,
599,263.138867558,257.86962,405009445.697,5.14086708164,1.0,[M-H]-
257,202.118222897,227.47953,11932986.9076,1.51904859929,1.0,[M-H]-
177,173.000815027,343.664382,38343803.4758,3.29658463768,10,
178,173.080158653,198.331536,117672262.302,4.56566444784,10,
180,174.057746798,177.013026,5044637.08914,2.77902497847,10,
181,174.954373952,523.211916,10630566.9685,9.42923854761,10,
182,176.008052122,776.02458,6254573.09857,13.577615032,10,
183,176.091116845,636.26292,6134837.07254,8.27352464577,10,
268,205.033802918,94.457202,1305317.33006,10.2197641556,1.0,[M-H]-
185,178.005051046,761.03442,3502460.88112,12.0215240413,10,
186,178.005035799,776.78238,1953362.86052,5.37846067953,10,
