"","inchikey","COMPOUND_ID","ID","SPECIES_TEXT","SPECIES_ACCESSION","COMPONENT_TEXT","COMPONENT_ACCESSION","STRAIN_TEXT","STRAIN_ACCESSION","SOURCE_TYPE","SOURCE_ACCESSION","COMMENTS","V12","STATUS","CHEBI_ACCESSION","SOURCE","PARENT_ID","NAME","DEFINITION","MODIFIED_ON","CREATED_BY","STAR","kingdom","superclass","class","subclass","direct_parent","molecular_framework","predicted_lipimaps_terms"
"1","AAASNKNLMQBKFV-UHFFFAOYSA-N",85124,9222,"Centella asiatica","NCBI:txid48106","null","null","null","null","MetaboLights","MTBLS175","null","","C","CHEBI:85124","ChEBI","null","quercetin 5,7,3',4'-tetramethyl ether","A tetramethoxyflavone that is  the 5,7,3',4'-tetramethy-derivative of quercetin.","2015-03-06","namrata",3,"Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavones","Flavonols","Aromatic heteropolycyclic compounds","Flavones and Flavonols (PK1211), Benzopyranoids (PK1311)"
"2","AABHSZUTAUSICN-HZJYTTRNSA-N",69547,4889,"Styrax agrestis","NCBI:txid153522","ripe fruit","PO:0007038","null","null","PubMed Id","21939219","Dried, powdered fruits were extracted with ethylacetate.","","C","CHEBI:69547","MolConn","null","7-demethoxyegonol-9(Z),12(Z)linoleate","A fatty acid ester that is egonol-9(Z),12(Z)linoleate in which the methoxy group at position 7 is replaced by a hydrogen. Isolated from the fruits of Styrax agrestis, it exhibits inhibitory activity against acetylcholinesterase.","2019-10-07","LOADER",3,"Organic compounds","Phenylpropanoids and polyketides","2-arylbenzofuran flavonoids","","2-arylbenzofuran flavonoids","Aromatic heteropolycyclic compounds","Fatty Acyls (FA), Benzofuranoids (PK1310), Fatty esters (FA07)"
"3","AABTWRKUKUPMJG-UHFFFAOYSA-N",89526,14061,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","C","CHEBI:89526","HMDB","null","2,4-dimethylfuran","A member of the class of furans that is furan in which the hydrogens at positions 2 and 4 are replaced by methyl groups.","2021-06-17","LOADER",3,"Organic compounds","Organoheterocyclic compounds","Heteroaromatic compounds","","Heteroaromatic compounds","Aromatic heteromonocyclic compounds",""
"4","AADQFNAACHHRLT-UHFFFAOYSA-N",88567,11084,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","E","CHEBI:88567","HMDB","null","2,4-Dimethyl-1-(1-methylethyl)-benzene","null","null","LOADER",2,"","","","","","",""
"5","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21622,"Symplocos caudata","NCBI:txid239693","root","BTO:0001188","null","null","PubMed Id","17905350","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"6","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21623,"Cupressus duclouxiana","NCBI:txid103966","branch","BTO:0000148","null","null","PubMed Id","16753802","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"7","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21621,"Styrax japonica","NCBI:txid59680","bark","BTO:0001301","null","null","PubMed Id","15577246","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"8","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21625,"Cirsium arvense","NCBI:txid41550","fruit","BTO:0000486","null","null","PubMed Id","22396124","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"9","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21630,"Saussurea salicifolia","NCBI:txid446849","aerial part","BTO:0001658","null","null","PubMed Id","18057725","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"10","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21624,"Plectocephalus americanus","NCBI:txid41506","seed","BTO:0001226","null","null","PubMed Id","16996096","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"11","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21629,"Centaurea scabiosa","NCBI:txid145517","fruit","BTO:0000486","null","null","PubMed Id","22396124","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"12","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21627,"Forsythia viridissima","NCBI:txid205691","flower","BTO:0000469","null","null","PubMed Id","15481244","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"13","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21631,"Styrax perkinsiae","NCBI:txid153547","bark","BTO:0001301","null","null","PubMed Id","26762060","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"14","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21626,"Cupressus duclouxiana","NCBI:txid103966","leaf","BTO:0000713","null","null","PubMed Id","16753802","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"15","AAGCATAPYOEULE-LHHMAMHXSA-N",132820,21628,"Arctium lappa","NCBI:txid4217","fruit","BTO:0000486","null","null","PubMed Id","22396124","null","","C","CHEBI:132820","SUBMITTER","null","matairesinoside","A lignan that is (-)-matairesinol in which one of the phenolic hydroxy groups has been replaced by a beta-D-glucosyl residue.","2017-04-12","liuqingping",3,"Organic compounds","Lignans, neolignans and related compounds","Lignan glycosides","","Lignan glycosides","Aromatic heteromonocyclic compounds","Fatty acyl glycosides of mono- and disaccharides (FA1301), Fatty acyl glycosides (FA13), Fatty Acyls (FA)"
"16","AAGQILLTUBPRPF-VCZKCASYSA-N",68039,3203,"Hyattella","NCBI:txid436463","null","null","null","null","PubMed Id","21341710","Frozen, lyophilized, macerated specimens were repeatedly extracted with CH2Cl2 and MeOH","","C","CHEBI:68039","MolConn","null","12-O-acetyl-16-O-methylhyrtiolide","A  scalarane sesterterpenoid isolated from the sponge, Hyattella species.","2013-10-08","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesterterpenoids","Scalarane sesterterpenoids","Aliphatic heteropolycyclic compounds","Sterol Lipids (ST), Dicarboxylic acids (FA0117), Scalarane sesterterpenoids (PR010506), Prenol Lipids (PR), C25 isoprenoids (sesterterpenes) (PR0105)"
"17","AANADYPLGVVCHK-DLQUUWTKSA-M",69288,4501,"Coscinoderma","NCBI:txid1162776","null","null","null","null","PubMed Id","21827183","Methanol and methylene dichloride extract of lyophilized and macerated sponge","","E","CHEBI:69288","MolConn","null","sodium(E)-((1R,4aS,4bS,8aS,10aS)-1-(2-((S)-5-methoxy-2-oxo-2,5-dihydrofuran-3-yl)ethyl)-4b,8,8,10a-tetramethyldecahydrophenanthren-2(1H,3H,4bH)-ylidene)methyl sulfate","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Sesterterpenoids","Cheilanthane sesterterpenoids","Aliphatic heteropolycyclic compounds","Sterol Lipids (ST), Cheilanthane and ophiobolane sesterterpenoids (PR010505), Prenol Lipids (PR), C25 isoprenoids (sesterterpenes) (PR0105)"
"18","AANADYPLGVVCHK-WAHTZHGESA-M",69289,4502,"Coscinoderma","NCBI:txid1162776","null","null","null","null","PubMed Id","21827183","Methanol and methylene dichloride extract of lyophilized and macerated sponge","","E","CHEBI:69289","MolConn","null","sodium(E)-((1R,4aS,4bS,8aS,10aS)-1-(2-((R)-5-methoxy-2-oxo-2,5-dihydrofuran-3-yl)ethyl)-4b,8,8,10a-tetramethyldecahydrophenanthren-2(1H,3H,4bH)-ylidene)methyl sulfate","null","null","LOADER",2,"","","","","","",""
"19","AAOVKJBEBIDNHE-UHFFFAOYSA-N",49575,6864,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:49575","ChEBI","null","diazepam","A 1,4-benzodiazepinone that is 1,3-dihydro-2H-1,4-benzodiazepin-2-one substituted by a chloro group at position 7, a methyl group at position 1 and a phenyl group at position 5.","2022-02-17","LOADER",3,"Organic compounds","Organoheterocyclic compounds","Benzodiazepines","1,4-benzodiazepines","1,4-benzodiazepines","Aromatic heteropolycyclic compounds",""
"20","AAOWDCXVOOKARC-BYUBTRPSSA-N",85132,9231,"Centella asiatica","NCBI:txid48106","null","null","null","null","MetaboLights","MTBLS175","null","","C","CHEBI:85132","ChEBI","null","glycitein 7-O-beta-D-(2'',4'',6''-O-triacetyl)glucopyranoside","A glycosyloxyisoflavone that is the 2'',4'',6''-O-triacetyl- derivative of glycitin.","2015-03-06","namrata",3,"Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides","Isoflavonoid O-glycosides","Aromatic heteropolycyclic compounds","Isoflavonoids (PK1205), Benzopyranoids (PK1311)"
"21","AAPDPMOLLIZJKU-PIBJWRKQSA-N",116932,19780,"Caenorhabditis elegans","NCBI:txid6239","null","null","null","null","PubMed Id","23894595","null","","C","CHEBI:116932","ChEBI","null","N-tricosanoyl-14-methylhexadecasphingosine-1-phosphocholine","A sphingomyelin 40:1 obtained by formal condensation of the carboxy group of tricosanoic acid with the amino group of 14-methylhexadecasphingosine-1-phosphocholine. It is a metabolite of the nematode Caenorhabditis elegans.","2016-04-14","ChEBI",3,"Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Phosphocholines","Aliphatic acyclic compounds",""
"22","AATAEFKOGVRLNH-UXPWSPDFSA-N",68292,3541,"Podocarpus latifolius","NCBI:txid120620","root","BTO:0001188","null","null","PubMed Id","21306129","Previous component: root bark; CH2Cl2-MeOH(1:1) extract of dried, ground root bark","","C","CHEBI:68292","MolConn","null","inumakoic acid","An  abietane diterpenoid that is podocarpa-8,11,13-triene substituted by a hydroxy group at position 11, a propan-2-yl group at position 14 and a carboxy group at position 16. It has been isolated from  Podocarpus latifolius.","2013-08-21","LOADER",3,"","","","","","",""
"23","AAUHUDBDDBJONC-BQYQJAHWSA-N",88857,11969,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","PubMed Id","24421258","null","","E","CHEBI:88857","HMDB","null","3-Methyl-3-heptene","null","null","LOADER",2,"","","","","","",""
"24","AAWNBEJOCRYVJE-QNGWXLTQSA-N",89028,12547,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","20671299","null","","E","CHEBI:89028","HMDB","null","DG(20:0/16:0/0:0)","null","null","LOADER",2,"","","","","","",""
"25","AAWZDTNXLSGCEK-WYWMIBKRSA-N",17521,7858,"Arabidopsis thaliana","NCBI:txid3702","null","null","null","null","DOI","10.1021/ac991142i","null","","C","CHEBI:17521","ChEBI","null","(-)-quinic acid","The (-)-enantiomer of quinic acid.","2018-07-30","CHEBI",3,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Quinic acids and derivatives","Aliphatic homomonocyclic compounds",""
"26","AAXCQFOXUJMCCW-PETQGJDISA-N",89983,15929,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","14754910","null","","E","CHEBI:89983","HMDB","null","LPS core","null","null","LOADER",2,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Acylaminosugars","Aliphatic heteromonocyclic compounds","Saccharolipids (SL), Fatty acyl glycosides (FA13), Fatty esters (FA07), N-acyl amines (FA0802), Acylaminosugars (SL01), Fatty Acyls (FA), Fatty amides (FA08)"
"27","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,19693,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS93","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"28","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,19692,"Homo sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","25502724","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"29","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,16972,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS19","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"30","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,19691,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS124","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"31","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,19694,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS90","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"32","AAYACJGHNRIFCT-YRJJIGPTSA-M",87818,16970,"Homo sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","23078175","null","","C","CHEBI:87818","ChEBI","null","sodium glycochenodeoxycholate","A bile acid salt that is the sodium salt of glycochenodeoxycholic acid.","2016-04-06","mwilliams",3,"","","","","","",""
"33","AAYSYQLAQZJKRL-AFBXMZPGSA-N",89297,13357,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","20671299","null","","E","CHEBI:89297","HMDB","null","PI(22:4(10Z,13Z,16Z,19Z)/18:0)","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols","Aliphatic homomonocyclic compounds","Fatty esters (FA07), Dicarboxylic acids (FA0117), Diacylglycerophosphoinositols (GP0601), Fatty Acyls (FA), Glycerophosphoinositols (GP06)"
"34","ABAOXDQXQHQRFA-YFKPBYRVSA-N",88182,19925,"Homo sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","26175011","null","","C","CHEBI:88182","ChEBI","null","methyl 1-methyl-5-oxo-L-prolinate","An alpha-amino acid ester that is the methyl ester of 1-methyl-5-oxo-L-proline.","2016-05-24","mwilliams",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acid esters","Aliphatic heteromonocyclic compounds",""
"35","ABAOXDQXQHQRFA-YFKPBYRVSA-N",88182,19926,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS226","null","","C","CHEBI:88182","ChEBI","null","methyl 1-methyl-5-oxo-L-prolinate","An alpha-amino acid ester that is the methyl ester of 1-methyl-5-oxo-L-proline.","2016-05-24","mwilliams",3,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acid esters","Aliphatic heteromonocyclic compounds",""
"36","ABCOOORLYAOBOZ-KQYNXXCUSA-L",58467,16377,"Saccharomyces cerevisiae","NCBI:txid4932","null","null","null","null","PubMed Id","24678285","Source: yeast.sf.net","","C","CHEBI:58467","Rhea","null","5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-)","Dianion of 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide.","2017-11-13","LOADER",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides","Aromatic heteromonocyclic compounds",""
"37","ABCOOORLYAOBOZ-KQYNXXCUSA-L",58467,7322,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:58467","Rhea","null","5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-)","Dianion of 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide.","2017-11-13","LOADER",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides","Aromatic heteromonocyclic compounds",""
"38","ABCOOORLYAOBOZ-KQYNXXCUSA-N",18381,17347,"Escherichia coli","NCBI:txid562","null","null","null","null","PubMed Id","21988831","null","","C","CHEBI:18381","ChEBI","null","5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide","null","2016-01-27","CHEBI",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides","Aromatic heteromonocyclic compounds",""
"39","ABCOOORLYAOBOZ-KQYNXXCUSA-N",18381,18699,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","C","CHEBI:18381","ChEBI","null","5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide","null","2016-01-27","CHEBI",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Imidazole ribonucleosides and ribonucleotides","1-ribosyl-imidazolecarboxamides","1-ribosyl-imidazolecarboxamides","Aromatic heteromonocyclic compounds",""
"40","ABDKAPXRBAPSQN-UHFFFAOYSA-N",59114,8338,"Silene latifolia","NCBI:txid37657","null","null","null","null","PubMed Id","22937972","null","","C","CHEBI:59114","ChEBI","null","veratrole","A dimethoxybenzene with the methoxy groups at ortho-positions.","2022-05-24","ops$mennis",3,"","","","","","",""
"41","ABFJWRKPWCFTQP-JKFVOKSPSA-N",89840,15402,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","20671299","null","","E","CHEBI:89840","HMDB","null","TG(18:0/18:0/18:2(9Z,12Z))[iso3]","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Triradylcglycerols","Triacylglycerols","Aliphatic acyclic compounds","Fatty Acyls (FA), Fatty esters (FA07), Triacylglycerols (GL0301), Glycerolipids (GL), Triradylglycerols (GL03)"
"42","ABMPOYCAXJZJJB-BQBZGAKWSA-N",137660,22757,"Bacillus subtilis","NCBI:txid1423","null","null","null","null","PubMed Id","22765234","null","","C","CHEBI:137660","ChEBI","null","3-[(1S,4R)-4-hydroxycyclohex-2-en-1-yl]pyruvic acid","A tetrahydro-4-hydroxyphenylpyruvic acid with (1S,4R)-stereochemistry.","2017-07-05","stevet",3,"Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Alpha-keto acids and derivatives","Alpha-keto acids and derivatives","Aliphatic homomonocyclic compounds",""
"43","ABMPOYCAXJZJJB-RQJHMYQMSA-N",137659,22756,"Bacillus subtilis","NCBI:txid1423","null","null","null","null","PubMed Id","22765234","null","","C","CHEBI:137659","ChEBI","null","3-[(1R,4R)-4-hydroxycyclohex-2-en-1-yl]pyruvic acid","A tetrahydro-4-hydroxyphenylpyruvic acid with (1R,4R)-stereochemistry.","2017-07-05","stevet",3,"","","","","","",""
"44","ABOLXXZAJIAUGR-JPMMFUSZSA-N",88735,11376,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","8496270","null","","E","CHEBI:88735","HMDB","null","1-(alpha-Methyl-4-(2-methylpropyl)benzeneacetate)-beta-D-Glucopyranuronic acid","null","null","LOADER",2,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","O-glucuronides","Aromatic heteromonocyclic compounds","C10 isoprenoids (monoterpenes) (PR0102), Dicarboxylic acids (FA0117), Prenol Lipids (PR)"
"45","ABOXWZCNWOBUEO-DNRJJOHKSA-N",89937,15756,"Homo sapiens","NCBI:txid9606","urine","BTO:0001419","null","null","PubMed Id","24023812","null","","E","CHEBI:89937","HMDB","null","PC(P-18:1(11Z)/18:2(9Z,12Z))","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","Aliphatic acyclic compounds","Fatty esters (FA07), 1-(1Z-alkenyl),2-acylglycerophosphocholines (GP0103), Glycerolipids (GL), Fatty Acyls (FA), Glycerophosphocholines (GP01)"
"46","ABOXWZCNWOBUEO-DNRJJOHKSA-N",89937,15755,"Homo sapiens","NCBI:txid9606","saliva","UBERON:0001836","null","null","Article","Dame, ZT. et al. (2014) The Human Saliva Metabolome (manuscript in preparation)","null","","E","CHEBI:89937","HMDB","null","PC(P-18:1(11Z)/18:2(9Z,12Z))","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","1-(1Z-alkenyl),2-acyl-glycerophosphocholines","Aliphatic acyclic compounds","Fatty esters (FA07), 1-(1Z-alkenyl),2-acylglycerophosphocholines (GP0103), Glycerolipids (GL), Fatty Acyls (FA), Glycerophosphocholines (GP01)"
"47","ABRULANJVVJLFI-DGHBBABESA-N",131838,21202,"Zantedeschia aethiopica","NCBI:txid69721","null","null","null","null","PubMed Id","25924520","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"48","ABRULANJVVJLFI-DGHBBABESA-N",131838,21192,"Iris gracilipes","NCBI:txid995794","flower","BTO:0000469","null","null","PubMed Id","25924524","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"49","ABRULANJVVJLFI-DGHBBABESA-N",131838,21195,"Gentianopsis barbata","NCBI:txid156522","null","null","null","null","PubMed Id","2608753","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"50","ABRULANJVVJLFI-DGHBBABESA-N",131838,21203,"Oryza sativa","NCBI:txid4530","seed","BTO:0001226","null","null","MetaboLights","MTBLS287","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"51","ABRULANJVVJLFI-DGHBBABESA-N",131838,21207,"Oryza sativa","NCBI:txid4530","seed","BTO:0001226","null","null","PubMed Id","26860358","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"52","ABRULANJVVJLFI-DGHBBABESA-N",131838,21205,"Lophatherum gracile","NCBI:txid29683","null","null","null","null","PubMed Id","25527702","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"53","ABRULANJVVJLFI-DGHBBABESA-N",131838,21206,"Ziziphus jujuba var. spinosa","NCBI:txid714518","seed","BTO:0001226","null","null","PubMed Id","26281588","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"54","ABRULANJVVJLFI-DGHBBABESA-N",131838,21201,"Comastoma pedunculatum","NCBI:txid156519","null","null","null","null","PubMed Id","MED:23234130","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
"55","ABRULANJVVJLFI-DGHBBABESA-N",131838,21196,"Wilbrandia ebracteata","NCBI:txid703182","root","BTO:0001188","null","null","PubMed Id","20678557","null","","C","CHEBI:131838","ChEBI","null","swertisin","A flavone C-glycoside that is 7-O-methylapigenin in which the hydrogen at position 6 has been replaced by a beta-D-glucosyl residue.","2016-12-05","mwilliams",3,"","","","","","",""
