"","inchikey","COMPOUND_ID","ID","SPECIES_TEXT","SPECIES_ACCESSION","COMPONENT_TEXT","COMPONENT_ACCESSION","STRAIN_TEXT","STRAIN_ACCESSION","SOURCE_TYPE","SOURCE_ACCESSION","COMMENTS","V12","STATUS","CHEBI_ACCESSION","SOURCE","PARENT_ID","NAME","DEFINITION","MODIFIED_ON","CREATED_BY","STAR","kingdom","superclass","class","subclass","direct_parent","molecular_framework","predicted_lipimaps_terms"
"10242","PBQNIVCBQWLBLF-LRDDRELGSA-N",66681,2009,"Martensia fragilis","NCBI:txid158715","null","null","null","null","PubMed Id","9810689","null","","C","CHEBI:66681","MolConn","null","martefragin A","An indole alkaloid isolated from the red alga Martensia fragilis and has been shown to inhibit lipid peroxidation.","2013-04-05","LOADER",3,"Organic compounds","Organoheterocyclic compounds","Indoles and derivatives","Indoles","Indoles","Aromatic heteropolycyclic compounds",""
"10243","PBQULXLDQBOQEV-VMPITWQZSA-N",69706,5135,"Nocardiopsis dassonvillei","NCBI:txid2014","spore","BTO:0001171","HR10 5","null","PubMed Id","21958359","Ethylacetate extract of fermentation medium inoculated with spores","","E","CHEBI:69706","MolConn","null","Nocapyrone F","null","2016-05-11","LOADER",2,"Organic compounds","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives","Pyranones and derivatives","Aromatic heteromonocyclic compounds",""
"10244","PBQUPIXOPSSWNK-ZWOXTJJBSA-N",88471,10502,"Homo sapiens","NCBI:txid9606","blood","UBERON:0000178","null","null","PubMed Id","20671299","null","","E","CHEBI:88471","HMDB","null","DG(16:1(9Z)/16:0/0:0)","null","null","LOADER",2,"Organic compounds","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols","1,2-diacylglycerols","Aliphatic acyclic compounds","Fatty esters (FA07), Dicarboxylic acids (FA0117), Diacylglycerols (GL0201), Fatty Acyls (FA), Glycerolipids (GL), Diradylglycerols (GL02)"
"10245","PBRMNFXOHFGVPZ-HVACLVPVSA-N",66622,1882,"Neurolaena lobata","NCBI:txid183056","aerial part","BTO:0001658","null","null","DOI","10.1021/jo00416a020","null","","C","CHEBI:66622","MolConn","null","neurolenin C","A germacranolide isolated from Neurolaena lobata and Austroeupatorium inulifolium and has been shown to exhibit antimalarial activity.","2018-02-07","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Germacranolides and derivatives","Aliphatic heteropolycyclic compounds","Germacrane sesquiterpenoids (PR010309), Fatty esters (FA07), Dicarboxylic acids (FA0117), C15 isoprenoids (sesquiterpenes) (PR0103), Prenol Lipids (PR), Fatty Acyls (FA)"
"10246","PBRMNFXOHFGVPZ-HVACLVPVSA-N",66622,1881,"Austroeupatorium inulifolium","NCBI:txid103744","stem","BTO:0001300","null","null","PubMed Id","12116880","null","","C","CHEBI:66622","MolConn","null","neurolenin C","A germacranolide isolated from Neurolaena lobata and Austroeupatorium inulifolium and has been shown to exhibit antimalarial activity.","2018-02-07","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Germacranolides and derivatives","Aliphatic heteropolycyclic compounds","Germacrane sesquiterpenoids (PR010309), Fatty esters (FA07), Dicarboxylic acids (FA0117), C15 isoprenoids (sesquiterpenes) (PR0103), Prenol Lipids (PR), Fatty Acyls (FA)"
"10247","PBRMNFXOHFGVPZ-HVACLVPVSA-N",66622,1883,"Austroeupatorium inulifolium","NCBI:txid103744","leaf","BTO:0000713","null","null","PubMed Id","12116880","null","","C","CHEBI:66622","MolConn","null","neurolenin C","A germacranolide isolated from Neurolaena lobata and Austroeupatorium inulifolium and has been shown to exhibit antimalarial activity.","2018-02-07","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Germacranolides and derivatives","Aliphatic heteropolycyclic compounds","Germacrane sesquiterpenoids (PR010309), Fatty esters (FA07), Dicarboxylic acids (FA0117), C15 isoprenoids (sesquiterpenes) (PR0103), Prenol Lipids (PR), Fatty Acyls (FA)"
"10248","PBRMNFXOHFGVPZ-HVACLVPVSA-N",66622,1880,"Neurolaena cobanensis","IPNI:234380-1","null","null","null","null","Article","PHARM PHARMACOL LETT,1998,8,119","null","","C","CHEBI:66622","MolConn","null","neurolenin C","A germacranolide isolated from Neurolaena lobata and Austroeupatorium inulifolium and has been shown to exhibit antimalarial activity.","2018-02-07","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Germacranolides and derivatives","Aliphatic heteropolycyclic compounds","Germacrane sesquiterpenoids (PR010309), Fatty esters (FA07), Dicarboxylic acids (FA0117), C15 isoprenoids (sesquiterpenes) (PR0103), Prenol Lipids (PR), Fatty Acyls (FA)"
"10249","PBSYQNUIZQXWAE-UWVGGRQHSA-N",136994,22312,"Homo Sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","10996661","null","","C","CHEBI:136994","ChEBI","null","2-(glutathion-S-yl)-1,4-hydroquinone","A glutathione conjugate in which the thiol hydrogen of glutathione has been replaced by a 2,5-dihydroxyphenyl group.","2017-05-10","stevet",3,"","","","","","",""
"10250","PBWOIPCULUXTNY-LBKBYZTLSA-N",69433,4729,"Cordyceps sinensis","NCBI:txid72228","mycelium","BTO:0001436","null","null","PubMed Id","21848266","EtOH extract of dried mycelia, mixture of beta-sitosterol 3-O-acetate and stigmasterol 3-O-acetate","","C","CHEBI:69433","MolConn","null","beta-sitosterol 3-O-acetate","A steroid ester obtained by the formal condensation of the hydroxy group of beta-sitosterol with acetic acid. It has been isolated from the mycelia of Cordyceps sinensis.","2014-01-14","LOADER",3,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids","Aliphatic homopolycyclic compounds","C24-propyl sterols and derivatives (ST0105), Steryl esters (ST0102), Sterol Lipids (ST), C30 isoprenoids (triterpenes) (PR0106), Prenol Lipids (PR)"
"10251","PBWYWMUNSHLHRZ-UYAOXDASSA-N",70572,6243,"Fraxinus sieboldiana","NCBI:txid490850","stem","BTO:0001300","null","null","PubMed Id","20961093","Previous component: stem bark; EtOAc soluble fraction of 95% ethanolic extract of air-dried stem bark","","C","CHEBI:70572","MolConn","null","(+)-(5S,7R)-7-ethoxy-12-hydroxy-2-oxo-20-norabieta-1(10),8,11,13-tetraene","A tricyclic diterpenoid isolated from the stem bark of Fraxinus sieboldiana.","2015-04-14","LOADER",3,"","","","","","",""
"10252","PBYNMDCXAUWQCG-UHFFFAOYSA-N",59235,9353,"Mycobacterium tuberculosis","NCBI:txid1773","null","null","null","null","PubMed Id","8917504","null","","C","CHEBI:59235","ChEBI","null","alpha-mycolic acid","A mycolic acid produced by Mycobacterium tuberculosis. Its structure is that of hexacosanoic acid substituted at position 2 by a 1-hydroxy-16-{2-[14-(2-octadecylcyclopropyl)tetradecyl]cyclopropyl}hexadecyl group.","2016-08-23","stevet",3,"Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids","Aliphatic homomonocyclic compounds","Hydroxy fatty acids (FA0105), Branched fatty acids (FA0102), Fatty Acids and Conjugates (FA01), Fatty Acyls (FA)"
"10253","PBZPORJXTWDATQ-CXQXIBKHSA-N",69181,4325,"Trigonostemon heterophyllus","IPNI:358015-1","twig","BTO:0001411","null","null","PubMed Id","22122667","95% EtOH extract of powdered and air-dried twigs","","E","CHEBI:69181","MolConn","null","trigochinin E","null","2014-09-22","LOADER",2,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Hexacarboxylic acids and derivatives","Hexacarboxylic acids and derivatives","Aromatic heteropolycyclic compounds","Rhamnofolane and daphnane diterpenoids (PR010432), Prenol Lipids (PR), C20 isoprenoids (diterpenes) (PR0104)"
"10254","PCDQPRRSZKQHHS-XVFCMESISA-J",37563,16935,"Saccharomyces cerevisiae","NCBI:txid4932","null","null","null","null","PubMed Id","24678285","Source: yeast.sf.net","","C","CHEBI:37563","ChEBI","null","CTP(4-)","A nucleoside triphosphate(4-) obtained by global deprotonation of the triphosphate OH groups of CTP; major species present at pH 7.3.","2020-11-16","ops$kirill",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside triphosphates","Aromatic heteromonocyclic compounds",""
"10255","PCDQPRRSZKQHHS-XVFCMESISA-J",37563,6672,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:37563","ChEBI","null","CTP(4-)","A nucleoside triphosphate(4-) obtained by global deprotonation of the triphosphate OH groups of CTP; major species present at pH 7.3.","2020-11-16","ops$kirill",3,"Organic compounds","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside triphosphates","Aromatic heteromonocyclic compounds",""
"10256","PCDQPRRSZKQHHS-XVFCMESISA-N",17677,18085,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","C","CHEBI:17677","ChEBI","null","CTP","null","2016-01-27","CHEBI",3,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates","Aromatic heteromonocyclic compounds",""
"10257","PCDQPRRSZKQHHS-XVFCMESISA-N",17677,17367,"Escherichia coli","NCBI:txid562","null","null","null","null","PubMed Id","21988831","null","","C","CHEBI:17677","ChEBI","null","CTP","null","2016-01-27","CHEBI",3,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates","Aromatic heteromonocyclic compounds",""
"10258","PCFGXGDGOLIQTE-TWFHAPMSSA-N",66152,1203,"Uvaria kweichowensis","IPNI:75758-1","leaf","BTO:0000713","null","null","PubMed Id","15997144","null","","C","CHEBI:66152","MolConn","null","kweichowenol B","A benzoate ester that is the diester obtained by the formal condensation of two molecules of benzoic acid with the hydroxymethyl group at position 1 and the hydroxy group at position 4 of 1-(hydroxymethyl)cyclohex-5-ene-1,2,3,4-tetrol the (1S,4R,5S,6S stereoisomer). Isolated from the leaves of Uvaria kweichowensis, it exhibits antitumour activity.","2013-03-18","LOADER",3,"","","","","","",""
"10259","PCFMUWBCZZUMRX-UHFFFAOYSA-N",80378,17868,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","E","CHEBI:80378","KEGG COMPOUND","null","9,10-Dihydroxyanthracene","null","2016-01-27","LOADER",2,"Organic compounds","Benzenoids","Anthracenes","","Anthracenes","Aromatic homopolycyclic compounds",""
"10260","PCGWZQXAGFGRTQ-WXMXURGXSA-N",34127,18331,"Mus musculus","NCBI:txid10090","null","null","null","null","PubMed Id","19425150","Source: BioModels - MODEL1507180067","","C","CHEBI:34127","KEGG COMPOUND","null","11(R)-HPETE","null","2016-01-27","CHEBI",3,"","","","","","",""
"10261","PCIBVZXUNDZWRL-UHFFFAOYSA-N",111507,20389,"Homo sapiens","NCBI:txid9606","null","null","null","null","MetaboLights","MTBLS298","null","","C","CHEBI:111507","ChEBI","null","ethylene glycol monophosphate","A hydroxyalkyl phosphate obtained by monophosphorylation of ethylene glycol.","2016-07-26","mwilliams",3,"","","","","","",""
"10262","PCIBVZXUNDZWRL-UHFFFAOYSA-N",111507,20388,"Homo sapiens","NCBI:txid9606","null","null","null","null","PubMed Id","26839171","null","","C","CHEBI:111507","ChEBI","null","ethylene glycol monophosphate","A hydroxyalkyl phosphate obtained by monophosphorylation of ethylene glycol.","2016-07-26","mwilliams",3,"","","","","","",""
"10263","PCIXSTFFMHVOMF-NFOIBEGASA-N",91009,17648,"Astragalus mongholicus","NCBI:txid119829","null","null","null","null","MetaboLights","MTBLS189","null","","C","CHEBI:91009","ChEBI","null","9,10-dimethoxypterocarpan-3-O-beta-D-glucoside","A member of the class of pterocarpans that is 3-hydroxy-9,10-dimethoxypterocarpan in which the phenol hydrogen is replaced by a beta-D-glucosyl residue.","2016-01-25","stevet",3,"Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids","Pterocarpans","Aromatic heteropolycyclic compounds","Isoflavonoids (PK1205), Benzofuranoids (PK1310), Pterocarpans (PK1207), Isoflavans (PK1208), Benzopyranoids (PK1311)"
"10264","PCIXSTFFMHVOMF-NFOIBEGASA-N",91009,17649,"Astragalus mongholicus","NCBI:txid119829","root","BTO:0001188","null","null","PubMed Id","15763368","null","","C","CHEBI:91009","ChEBI","null","9,10-dimethoxypterocarpan-3-O-beta-D-glucoside","A member of the class of pterocarpans that is 3-hydroxy-9,10-dimethoxypterocarpan in which the phenol hydrogen is replaced by a beta-D-glucosyl residue.","2016-01-25","stevet",3,"Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids","Pterocarpans","Aromatic heteropolycyclic compounds","Isoflavonoids (PK1205), Benzofuranoids (PK1310), Pterocarpans (PK1207), Isoflavans (PK1208), Benzopyranoids (PK1311)"
"10265","PCIXSTFFMHVOMF-NFOIBEGASA-N",91009,17647,"Astragalus mongholicus","NCBI:txid119829","null","null","null","null","PubMed Id","25844502","null","","C","CHEBI:91009","ChEBI","null","9,10-dimethoxypterocarpan-3-O-beta-D-glucoside","A member of the class of pterocarpans that is 3-hydroxy-9,10-dimethoxypterocarpan in which the phenol hydrogen is replaced by a beta-D-glucosyl residue.","2016-01-25","stevet",3,"Organic compounds","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids","Pterocarpans","Aromatic heteropolycyclic compounds","Isoflavonoids (PK1205), Benzofuranoids (PK1310), Pterocarpans (PK1207), Isoflavans (PK1208), Benzopyranoids (PK1311)"
"10266","PCIZFQVDNDHRPP-WOIVZMLFSA-N",70339,5929,"Penicillium commune","NCBI:txid36653","mycelium","BTO:0001436","null","null","PubMed Id","21226488","Methanolic extract of mycelia and ethyl acetate extract of culture broth","","C","CHEBI:70339","MolConn","null","(22E,24R)-ergosta-5alpha,6alpha-epoxide-8,22-diene-3beta,7alpha-diol","An ergostanoid that is (22E)-ergosta-7,22-diene substituted by hydroxy groups at positions 3 and 7 and an epoxy group across positions 5 and 6 (the 3beta,5alpha,6alpha,7alpha stereoisomer). It has been isolated from Aspergillus ochraceus as well as Penicillium commune.","2019-10-28","LOADER",3,"","","","","","",""
"10267","PCIZFQVDNDHRPP-WOIVZMLFSA-N",70339,5928,"Aspergillus ochraceus","NCBI:txid40380","mycelium","BTO:0001436","EN 31","null","PubMed Id","21043476","MeOH(mycelia) & EtOAc(broth) extract of an endophytic fungus isolated from Sargassum kjellmanianum","","C","CHEBI:70339","MolConn","null","(22E,24R)-ergosta-5alpha,6alpha-epoxide-8,22-diene-3beta,7alpha-diol","An ergostanoid that is (22E)-ergosta-7,22-diene substituted by hydroxy groups at positions 3 and 7 and an epoxy group across positions 5 and 6 (the 3beta,5alpha,6alpha,7alpha stereoisomer). It has been isolated from Aspergillus ochraceus as well as Penicillium commune.","2019-10-28","LOADER",3,"","","","","","",""
"10268","PCJGZPGTCUMMOT-ISULXFBGSA-N",7542,6943,"Homo sapiens","NCBI:txid9606","null","null","null","null","DOI","10.1038/nbt.2488","null","","C","CHEBI:7542","KEGG COMPOUND","null","neurotensin","A 13 amino acid peptide hormone which is found in the central nervous system and the gastrointestinal tract. It behaves as a neurotransmitter in the brain, as a hormone in the gut, and also as a neuromodulator. It is implicated in the pathophysiology of several CNS disorders (including schizophrenia, Parkinson's disease, drug abuse, pain, cancer, inflammation, eating disorders and central control of blood pressure) due to its association with a wide variety of neurotransmitter systems such as dopaminergic, sertonergic, glutamatergic, GABAergic, and cholinergic systems.","2020-04-17","CHEBI",3,"Organic compounds","Organic Polymers","Polypeptides","","Polypeptides","Aromatic heteromonocyclic compounds","Dicarboxylic acids (FA0117), N-acyl amines (FA0802), Fatty Acyls (FA), Fatty amides (FA08)"
"10269","PCKQDAAUYVCTJJ-XYGKKIDYSA-N",65528,280,"Brucea antidysenterica","NCBI:txid459111","xylem","BTO:0001468","null","null","PubMed Id","8133299","Previous component: ground wood;","","C","CHEBI:65528","MolConn","null","bruceanol F","A quassinoid isolated from Brucea antidysenterica and has been shown to exhibit in vitro cytotoxicity towards several human tumour cell lines.","2015-03-11","LOADER",3,"","","","","","",""
"10270","PCLJYOVKGSBXJW-UHFFFAOYSA-N",69924,5396,"Clausena harmandiana","NCBI:txid159036","root","BTO:0001188","null","null","PubMed Id","21302964","Crude ethyl acetate extract of air-dried, powdered roots.","","E","CHEBI:69924","MolConn","null","Clauraila C","null","2014-09-22","LOADER",2,"","","","","","",""
"10271","PCOBOAPRWGQQGA-UHFFFAOYSA-N",69595,4955,"Marinactinospora thermotolerans","NCBI:txid531310","spore","BTO:0001171","SCSIO 00652","null","PubMed Id","21977916","Crude extract of fermented medium inoculated with spores and mycelia","","E","CHEBI:69595","MolConn","null","Marinacarboline D","null","2014-09-22","LOADER",2,"Organic compounds","Alkaloids and derivatives","Harmala alkaloids","","Harmala alkaloids","Aromatic heteropolycyclic compounds",""
"10272","PCOBOAPRWGQQGA-UHFFFAOYSA-N",69595,4954,"Marinactinospora thermotolerans","NCBI:txid531310","mycelium","BTO:0001436","SCSIO 00652","null","PubMed Id","21977916","Crude extract of fermented medium inoculated with spores and mycelia","","E","CHEBI:69595","MolConn","null","Marinacarboline D","null","2014-09-22","LOADER",2,"Organic compounds","Alkaloids and derivatives","Harmala alkaloids","","Harmala alkaloids","Aromatic heteropolycyclic compounds",""
"10273","PCRJJAXIHTZHNU-SDUSCBPUSA-N",66741,2092,"Penicillium","NCBI:txid5073","null","null","PF1163","null","PubMed Id","10724005","null","","C","CHEBI:66741","MolConn","null","PF 1163B","A macrolide antibiotic that is 4,10-dimethyl-1-oxa-4-azacyclotridecane-2,5-dione substituted by a 4-(2-hydroxyethoxy)benzyl group at position 3 and a pentyl group at position 13 (the 3S,10R,13S stereoisomer). It is isolated from Penicillium sp.PF1163 and exhibits antifungal activity against the pathogenic fungal strain Candida albicans TIMM1768.","2014-01-13","LOADER",3,"Organic compounds","Phenylpropanoids and polyketides","Macrolide lactams","","Macrolide lactams","Aromatic heteromonocyclic compounds","Macrolides and lactone polyketides (PK04)"
