peakID,mz,rt,maxMeanIntensity,RSD,bestScore,bestAdduct
1,100.087516302,182.403426,129262.10902,13.1267882161,10,
2,102.034416411,1193.57658,54648434.9675,12.4961044322,10,
287,148.042938855,724.15419,5258044.55157,6.72068729841,1.0,[M+H]+
4,102.037832948,385.461105,14797712.0101,3.43323306295,10,
5,102.103135921,111.235533,949479.724836,5.62905177962,10,
431,162.112691409,711.89949,5010799684.88,2.44691565637,1.0,[M+H]+
89,121.0651993,146.708364,319258701.494,4.99190331446,1.0,[M+H]+
8,103.087210517,462.591198,35382965.8511,6.59371614417,1.0,[M+NH4]+
9,103.12358623,1053.19002,6165118.13828,4.78019619184,10,
308,150.058611045,384.813546,598318244.675,5.07824245688,1.0,[M+H]+
12,104.071213394,571.577604,25542576.9883,6.38398949628,10,
13,104.071191188,675.46263,47784840.2813,6.4449856694,10,
692,184.094656215,520.231512,991436.532216,5.61354153884,2.0,[M+Na]+
15,104.107641856,404.843475,1657287694.91,2.56781352985,10,
16,104.107729555,347.792472,10684905277.4,4.03066467845,1.0,[M+H]+
17,104.992855745,475.88943,2769875029.94,4.87845314161,10,
727,187.093084193,1124.02785,9245659.3649,4.71232745325,2.0,[M+K]+
20,106.05044134,678.01254,99017429.6485,2.34771057253,10,
21,106.111704487,349.059369,26509374.6964,4.333253152,10,
23,107.086014494,39.5298156,1104350.89674,2.30974983552,10,
307,150.058507357,79.975281,129959941.02,3.25760792047,1.0,[M+H]+
25,108.048375452,525.363192,8246156.49052,8.59602599783,10,
26,110.027530112,582.651015,6881742.91924,6.28257358739,10,
27,110.035316341,173.845506,54910760.2423,2.78825539181,10,
1223,227.114115943,993.25932,8172528726.48,2.08000147002,1.0,[M+H]+
29,110.071791136,818.96541,80111402.1384,5.23588547602,10,
30,111.055822154,756.1083,321927070.332,3.03602748535,10,
1741,258.108755565,111.723522,20871734.3534,2.33108738412,1.0,[M+H]+
1493,244.093194036,238.471815,320545246.438,1.96084943305,1.0,[M+H]+
2169,279.170687234,153.453525,561869500.546,1.73553615323,1.0,[M+H]+
598,176.139517775,436.941849,87492373.749,1.18123703693,1.0,[M+NH4]+
282,147.113012055,1007.26245,2748061308.97,3.77658796322,1.0,[M+H]+
37,112.087487418,584.983128,790538466.505,4.92273547707,10,
2710,307.100520824,238.040556,1590896.76007,11.7058731414,1.0,[M+H]+
40,113.071434321,110.201322,18274283.0718,5.51266029422,1.0,[M+NH4]+
42,113.090685386,584.983128,45666899.8619,6.46239284144,10,
44,114.07185555,510.37401,143854.523651,6.62375054637,10,
1678,254.111291836,607.04628,22768558.7701,3.67910530188,2.0,[M+Na]+
46,114.12817542,121.294332,9206474.13151,3.43567460682,10,
47,115.087003599,279.872442,128649500.297,1.60851288705,10,
48,115.087085563,98.277174,24799854.9415,7.67234643716,10,
50,116.001438349,37.3586718,1043461.84081,6.49186317183,10,
51,116.034686373,692.17128,3899013.07387,3.77357259316,10,
52,116.034074685,65.333235,866484.773363,9.78369621336,10,
168,133.09737327,1009.94673,138655746.805,4.65884129759,1.0,[M+NH4]+
54,116.071104621,488.167587,454197579.607,4.27504531887,10,
573,175.119159956,951.81474,14441218228.0,2.50887513081,1.0,[M+H]+
56,116.090352328,279.872442,6903674.74181,3.22179853205,10,
57,116.107347509,172.285083,92801511.5605,3.46280683252,10,
1586,248.160824114,1057.35282,20415703.6197,2.22990161218,2.0,[M+Na]+
59,117.048535888,385.397865,885769.630661,9.40999314134,10,
60,117.048596647,401.533944,372411.472395,7.39418273759,10,
61,117.057642762,280.092516,19181551.6026,4.4767505477,10,
62,117.070325339,83.214828,13379249.4542,6.46556109593,10,
1294,232.105910858,90.709659,483609.406387,10.9579098932,1.0,[M+NH4]+
670,182.08142742,438.119832,1764635457.01,2.16274659133,1.0,[M+H]+
69,118.065543604,283.380495,476595186.778,1.562624369,10,
70,118.077620032,488.286672,344583.024768,12.3909280699,10,
71,118.097931269,526.999593,1153001.41263,5.21176790797,10,
72,118.09784994,279.23442,988113.466677,7.16025826536,10,
73,118.123119592,256.620249,51324622.5988,7.29981461864,10,
199,137.046038481,173.533452,13094308363.1,2.79970010858,1.0,[M+H]+
201,137.059823503,437.886849,11150598.7061,4.76686354736,1.0,[M+H]+
1693,255.097715975,481.891935,470004119.508,1.83879326828,1.0,[M+H]+
476,166.058170079,437.985738,28977136.5586,3.17449653061,1.0,[M+H]+
78,119.085841023,39.7445886,2960955.68567,3.33111454069,10,
4018,395.09593074,642.20718,4483521.13599,8.05468330638,1.0,[M+NH4]+
83,120.065921188,747.98577,67173722.9587,3.18141142585,10,
1994,269.161043852,609.22302,14983055.7634,10.3621262597,1.0,[M+H]+
85,120.081168852,284.30109,4051043721.42,5.19818484568,10,
86,121.039959117,79.022976,8661908.1007,3.89226294542,10,
87,121.039999652,587.049528,1494001.05547,4.81218924022,10,
213,139.050471552,263.040036,76410197.0593,9.31018938389,1.0,[M+H]+
